,id,release,release_date,opening_revenue,original_language,budget,origin_country,production_companies,runtime,is_series,num_production_companies,release_month_1,release_month_2,release_month_3,release_month_4,release_month_5,release_month_6,release_month_7,release_month_8,release_month_9,release_month_10,release_month_11,release_month_12,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752,position_in_series,previous_film_release,previous_film_rating,cast_xp_median,cast_xp_sum,cast_rating_max,director,director_xp,director_rating_median,director_rating_max,writer,writer_xp_median,writer_xp_sum,writer_rating_median,writer_rating_max,production_room,writers_room,sound_room,crew,based_on_novel,genres,belongs_to_collection.id,belongs_to_collection.name,imdb_id
306,2447,The Nativity Story,11/30/2006,8025000,en,35000000,['US'],"[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 1143, 'logo_path': None, 'name': 'Sound for Film', 'origin_country': ''}, {'id': 12292, 'logo_path': '/4GQTeqos2luopEtp3OgMQYusQ5c.png', 'name': 'Temple Hill Entertainment', 'origin_country': 'US'}]",101,0,318,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,79,8,19850,29,6.1,7.6,10683,3,3,7.1,7.2,7,1,1,23,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,,tt0434139
307,9782,The Night Listener,2/12/2006,3600000,en,4000000,['US'],"[{'id': 307, 'logo_path': '/gUi3pAUznQJpR296lw4mSVbB7zx.png', 'name': 'IFC Films', 'origin_country': 'US'}, {'id': 1615, 'logo_path': '/4eBmyaFkD9um04Weu6ybnLWNSVH.png', 'name': 'Fortissimo Films', 'origin_country': 'NL'}, {'id': 11351, 'logo_path': None, 'name': 'Hart-Sharp Entertainment', 'origin_country': 'US'}]",91,0,316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,30,248,10,59210,5,0,5.7,59210,1,7,3.9,7.1,4,3,1,13,0,"[{'id': 28, 'name': 'Action'}]",166373,The Marine Collection,tt0419946
308,806,The Omen,6/6/2006,16026496,en,25000000,['US'],"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 519, 'logo_path': None, 'name': '11:11 Mediaworks', 'origin_country': ''}, {'id': 444, 'logo_path': None, 'name': 'Dune Entertainment', 'origin_country': 'US'}]",110,0,281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,54,203,10,12028,17,5.3,7.8,11834,32,32,5.6,7.4,7,1,1,82,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,,tt0433416
309,14202,The Painted Veil,12/9/2006,51086,en,19400000,"['CA', 'CN', 'US']","[{'id': 741, 'logo_path': None, 'name': 'Emotion Pictures', 'origin_country': 'CA'}, {'id': 1557, 'logo_path': '/ccz9bqCu3jSFKbPFnfWmjAKZLBL.png', 'name': 'The Mark Gordon Company', 'origin_country': 'US'}, {'id': 2297, 'logo_path': None, 'name': 'Class 5 Films', 'origin_country': 'US'}, {'id': 7999, 'logo_path': None, 'name': 'Warner China Film HG Corporation', 'origin_country': 'CN'}, {'id': 11027, 'logo_path': None, 'name': 'Stratus Film Co.', 'origin_country': 'US'}, {'id': 12260, 'logo_path': None, 'name': 'Bob Yari Productions', 'origin_country': 'US'}, {'id': 12261, 'logo_path': None, 'name': 'The Colleton Company', 'origin_country': 'US'}, {'id': 12262, 'logo_path': None, 'name': 'Dragon Studios', 'origin_country': 'CN'}, {'id': 194859, 'logo_path': '/pG7MJ556xsjrvVosg4TWmMLWV9v.png', 'name': 'Salon Films', 'origin_country': 'HK'}, {'id': 3819, 'logo_path': None, 'name': 'Syndicate Films', 'origin_country': 'US'}, {'id': 11509, 'logo_path': '/k0jYhHnt0DultQDNH2wH1XHt9PO.png', 'name': 'Warner Independent Pictures', 'origin_country': 'US'}, {'id': 2269, 'logo_path': None, 'name': 'China Film Co-Production Corp.', 'origin_country': 'CN'}]",125,0,1161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,43,198,10,96166,4,6.55,7.5,27916,39,78,5.65,8,16,2,12,41,1,"[{'id': 18, 'name': 'Drama'}]",,,tt0762121
310,12096,The Pink Panther,2/10/2006,20220412,en,65000000,['US'],"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 3929, 'logo_path': None, 'name': 'Robert Simonds Productions', 'origin_country': 'US'}]",93,0,323,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,47,231,10,17825,13,5.8,6.3,71225,26.5,189,6,9,31,6,19,166,0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,,tt0448075
311,1124,The Prestige,10/17/2006,14801808,en,40000000,"['US', 'GB']","[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 9195, 'logo_path': '/geK5QOBsXIPGHutKwXtYjMUyYSG.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}, {'id': 28, 'logo_path': '/7tRG0ZsmtptmzPMKupd1FZkjtnn.png', 'name': 'Newmarket Films', 'origin_country': 'US'}, {'id': 9996, 'logo_path': '/3tvBqYsBhxWeHlu62SIJ1el93O7.png', 'name': 'Syncopy', 'origin_country': 'GB'}]",130,0,455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,25,216,10,525,27,6.515,8.181,15554,15.5,31,6.515,8.181,16,3,10,63,1,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,,tt0466909
312,1402,The Pursuit of Happyness,12/14/2006,26541709,en,55000000,['US'],"[{'id': 1423, 'logo_path': '/1rbAwGQzrNvXDICD6HWEn1YqfAV.png', 'name': 'Escape Artists', 'origin_country': 'US'}, {'id': 7295, 'logo_path': '/62E1B91PxZw8q4KNkge5Qemo7EM.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 907, 'logo_path': '/ca5SWI5uvU985f8Kbb4xc8AmVWH.png', 'name': 'Overbrook Entertainment', 'origin_country': 'US'}]",117,0,461,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.5,162,10,20646,17,5.9,10,20647,3,3,6.1,6.3,6,1,3,37,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,,tt0446755
313,1165,The Queen,9/15/2006,122014,en,15000000,['GB'],"[{'id': 247, 'logo_path': None, 'name': 'Granada Productions', 'origin_country': 'GB'}, {'id': 866, 'logo_path': None, 'name': 'Pathé Renn Productions', 'origin_country': 'FR'}, {'id': 225, 'logo_path': '/219VBIZDpilyVKz3DVviMP7f2oB.png', 'name': 'BIM Distribuzione', 'origin_country': 'IT'}]",103,0,292,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,21,204,9.4,3224,55,5.8,8.2,15730,12.5,25,2,7.4,31,2,20,208,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",130440,The Pink Panther (Steve Martin) Collection,tt0383216
314,10093,The Return,11/10/2006,4776000,en,15000000,['US'],"[{'id': 134, 'logo_path': None, 'name': 'Rogue Pictures', 'origin_country': 'US'}, {'id': 1224, 'logo_path': None, 'name': 'Intrepid Pictures', 'origin_country': 'US'}, {'id': 22927, 'logo_path': None, 'name': 'Raygun Productions', 'origin_country': ''}, {'id': 20450, 'logo_path': None, 'name': 'Biscayne Pictures', 'origin_country': ''}, {'id': 22928, 'logo_path': None, 'name': 'Rosey Film Productions', 'origin_country': 'US'}]",85,0,431,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,113,8.1,55251,8,5.05,6.3,63290,0,0,0,0,8,1,1,32,0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",,,tt0482571
315,13767,The Santa Clause 3: The Escape Clause,11/2/2006,19504038,en,12000000,['US'],"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 12626, 'logo_path': None, 'name': 'Boxing Cat Films', 'origin_country': 'US'}, {'id': 889, 'logo_path': None, 'name': 'Outlaw Productions', 'origin_country': 'US'}, {'id': 95593, 'logo_path': None, 'name': 'Santa Frost Productions', 'origin_country': 'US'}]",97,1,381,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1495,5.97,34,206,10,15045,4,2.934,5.97,56643,8,32,5.9515,6.822,8,4,9,72,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",,,tt1006941
