,id,release,release_date,opening_revenue,original_language,budget,origin_country,production_companies,runtime,position_in_series,previous_film_release,previous_film_rating,cast_xp_median,cast_xp_sum,cast_rating_max,director,director_xp,director_rating_median,director_rating_max,writer,writer_xp_median,writer_xp_sum,writer_rating_median,writer_rating_max,production_room,writers_room,sound_room,crew,based_on_novel,num_production_companies,is_series,release_month_1,release_month_2,release_month_3,release_month_4,release_month_5,release_month_6,release_month_7,release_month_8,release_month_9,release_month_10,release_month_11,release_month_12,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752
20,118,Charlie and the Chocolate Factory,2005-07-13,56178450.0,en,150000000,['US'],"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 80, 'logo_path': '/i6B0AIrUESLt5Fm6MOPXmuPhsvA.png', 'name': 'The Zanuck Company', 'origin_country': 'US'}, {'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}, {'id': 55512, 'logo_path': None, 'name': 'Theobald Film Productions', 'origin_country': 'GB'}]",115,1.0,0.0,0.0,41.0,172.0,10.0,510.0,49.0,6.6,7.9,1299.0,17.5,35.0,6.35,7.761,37.0,2.0,26.0,194.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,9641,Cheaper by the Dozen 2,2005-12-21,9309387.0,en,60000000,"['US', 'CA']","[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 2575, 'logo_path': '/9YJrHYlcfHtwtulkFMAies3aFEl.png', 'name': '21 Laps Entertainment', 'origin_country': 'US'}]",94,2.0,728.0,6.3,22.0,185.0,9.0,20739.0,41.0,5.988,7.761,52696.0,3.0,13.0,6.3,7.3,7.0,4.0,1.0,36.0,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22,9982,Chicken Little,2005-11-04,40049778.0,en,150000000,['US'],"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 171656, 'logo_path': '/4UBohOtIr9DtxylH48Qsg6aDow6.png', 'name': 'Walt Disney Feature Animation', 'origin_country': 'US'}]",81,1.0,0.0,0.0,31.0,129.0,10.0,61411.0,9.0,7.2,7.563,11.0,5.0,32.0,7.05,7.91,7.0,7.0,10.0,77.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,921,Cinderella Man,2005-06-02,18320205.0,en,88000000,['US'],"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 23, 'logo_path': '/bJOFo2ufq7iFC1F4qZm8aLxF5aS.png', 'name': 'Imagine Entertainment', 'origin_country': 'US'}, {'id': 187063, 'logo_path': None, 'name': 'Brian Grazer Productions', 'origin_country': 'US'}, {'id': 1350, 'logo_path': None, 'name': 'Parkway Productions', 'origin_country': ''}]",144,1.0,0.0,0.0,28.0,122.0,10.0,6159.0,51.0,6.3,7.858,5575.0,14.0,14.0,6.24,7.858,14.0,2.0,6.0,77.0,0.0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,7214,Coach Carter,2005-01-14,24182961.0,en,30000000,['US'],"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 746, 'logo_path': '/kc7bdIVTBkJYy9aDK1QDDTAL463.png', 'name': 'MTV Films', 'origin_country': 'US'}, {'id': 2184, 'logo_path': None, 'name': 'Tollin/Robbins Productions', 'origin_country': ''}]",136,1.0,0.0,0.0,6.0,111.0,10.0,52038.0,11.0,6.7,10.0,53176.0,4.5,9.0,5.4,6.5,9.0,2.0,1.0,21.0,0.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,561,Constantine,2005-02-08,29769098.0,en,100000000,['US'],"[{'id': 79, 'logo_path': '/at4uYdwAAgNRKhZuuFX8ShKSybw.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 430, 'logo_path': None, 'name': 'Lonely Film Productions GmbH & Co. KG.', 'origin_country': 'DE'}, {'id': 431, 'logo_path': '/6dcR1MbRqYgt3jUVYxkHe68GFnZ.png', 'name': ""The Donners' Company"", 'origin_country': 'US'}, {'id': 432, 'logo_path': None, 'name': 'Batfilm Productions', 'origin_country': 'US'}, {'id': 433, 'logo_path': '/iafkKMpcRfEXq9a4sQf0h6tg2E2.png', 'name': 'Weed Road Pictures', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 787, 'logo_path': '/cCefBs1t7jxtiz3eCxBp9yxrxGx.png', 'name': '3 Arts Entertainment', 'origin_country': 'US'}, {'id': 165407, 'logo_path': '/5fnvtywvYSkskSJr99VcR3x9RTE.png', 'name': 'DC Vertigo', 'origin_country': 'US'}]",121,1.0,0.0,0.0,15.0,118.0,8.218,10943.0,5.0,7.3,9.1,10944.0,5.0,25.0,5.7,8.018,42.0,6.0,40.0,356.0,0.0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,3933,Corpse Bride,2005-09-12,388166.0,en,40000000,['US'],"[{'id': 8601, 'logo_path': '/kqubCH3sfBAk4znUj7hjqv8ffgi.png', 'name': 'Tim Burton Productions', 'origin_country': 'US'}, {'id': 11537, 'logo_path': '/AgCkAk8EpUG9fTmK6mWcaJA2Zwh.png', 'name': 'Laika', 'origin_country': 'US'}, {'id': 57751, 'logo_path': None, 'name': 'Patalex Productions', 'origin_country': 'GB'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 1515, 'logo_path': '/bU7G4LZfEk9SxlnlU7uUdRgOmja.png', 'name': 'Will Vinton Studios', 'origin_country': 'US'}]",77,1.0,0.0,0.0,27.0,159.0,10.0,510.0,50.0,6.6,7.9,2302582.0,6.5,113.0,6.4,7.971,22.0,12.0,55.0,261.0,0.0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1640,Crash,2005-05-06,9107071.0,en,6500000,['US'],"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 2087, 'logo_path': None, 'name': 'Blackfriars Bridge Films', 'origin_country': ''}, {'id': 2448, 'logo_path': None, 'name': 'Yari Film Group', 'origin_country': ''}, {'id': 12260, 'logo_path': None, 'name': 'Bob Yari Productions', 'origin_country': 'US'}, {'id': 19528, 'logo_path': None, 'name': 'ApolloProScreen Filmproduktion', 'origin_country': ''}, {'id': 25432, 'logo_path': None, 'name': ""Bull's Eye Entertainment"", 'origin_country': ''}, {'id': 25433, 'logo_path': None, 'name': 'DEJ Productions', 'origin_country': 'US'}, {'id': 25434, 'logo_path': None, 'name': 'Harris Company', 'origin_country': ''}]",112,1.0,0.0,0.0,36.0,157.0,10.0,455.0,6.0,6.9775,8.6,1695275.0,3.0,18.0,6.0,8.6,34.0,4.0,19.0,142.0,0.0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,10012,Cursed,2005-02-25,9600000.0,en,35000000,['US'],"[{'id': 20376, 'logo_path': None, 'name': 'Kalis Productions GmbH & Co. Zweite KG', 'origin_country': ''}, {'id': 1600, 'logo_path': None, 'name': 'Craven-Maddalena Films', 'origin_country': ''}, {'id': 2180, 'logo_path': None, 'name': 'Outerbanks Entertainment', 'origin_country': 'US'}, {'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}]",99,1.0,0.0,0.0,26.0,119.0,10.0,5140.0,77.0,5.7,8.5,26458.0,12.0,12.0,6.0145,7.422,57.0,1.0,39.0,421.0,0.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,8999,Derailed,2005-11-11,12211986.0,en,22000000,['US'],"[{'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}, {'id': 23635, 'logo_path': None, 'name': 'Patalex V Productions Limited', 'origin_country': 'GB'}, {'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}]",108,1.0,0.0,0.0,36.0,177.0,10.0,29605.0,13.0,4.7,7.3,1707.0,5.0,5.0,6.2,7.8,26.0,2.0,19.0,136.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,11453,Deuce Bigalow: European Gigolo,2005-08-12,9626287.0,en,22000000,['US'],"[{'id': 879, 'logo_path': None, 'name': 'Out of the Blue... Entertainment', 'origin_country': ''}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 878, 'logo_path': '/e2AZdsQdkhN0qJhoN4TMYiVPLyb.png', 'name': 'Happy Madison Productions', 'origin_country': 'US'}]",83,2.0,2072.0,6.0,32.0,154.0,9.0,69498.0,0.0,0.0,0.0,1173438.0,2.0,9.0,4.272,6.348,27.0,3.0,15.0,106.0,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,16186,Diary of a Mad Black Woman,2005-02-25,21905089.0,en,5500000,['US'],"[{'id': 185012, 'logo_path': None, 'name': 'Diary of a Woman Inc.', 'origin_country': ''}, {'id': 114117, 'logo_path': '/j1Em78GVfapaWFOxi7kvE0O8f4.png', 'name': 'BET Films', 'origin_country': 'US'}, {'id': 3096, 'logo_path': '/fkZTZ4veYYr3lwr2riVrVAOfeqD.png', 'name': 'Tyler Perry Studios', 'origin_country': 'US'}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 211692, 'logo_path': None, 'name': 'Reuben Cannon Productions', 'origin_country': ''}]",117,1.0,0.0,0.0,5.0,33.0,10.0,77441.0,2.0,4.5,9.0,80602.0,22.0,22.0,7.5,7.6,33.0,2.0,35.0,167.0,0.0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32,9923,Domino,2005-10-14,4675000.0,en,50000000,"['FR', 'GB']","[{'id': 1645, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'GB'}, {'id': 342, 'logo_path': '/kZ99mxyNvNgyAFjm7rcl9vfYmU8.png', 'name': 'Davis Films', 'origin_country': 'FR'}, {'id': 16419, 'logo_path': '/8ppVamMu9jnA72kOi4e9grvx6Ex.png', 'name': 'Metropolitan Filmexport', 'origin_country': 'FR'}]",127,1.0,0.0,0.0,23.0,129.0,10.0,893.0,35.0,6.6,7.54,1510846.0,3.0,17.0,7.4,10.0,33.0,4.0,21.0,239.0,0.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
33,8814,Doom,2005-10-20,15488870.0,en,60000000,"['GB', 'DE', 'US', 'CZ']","[{'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 1512, 'logo_path': None, 'name': 'John Wells Productions', 'origin_country': 'US'}, {'id': 2539, 'logo_path': None, 'name': 'Reaper Productions', 'origin_country': ''}, {'id': 11345, 'logo_path': '/xhnnHfsqEimD4r0QeUz3GSvcv73.png', 'name': 'Stillking Films', 'origin_country': 'CZ'}, {'id': 19922, 'logo_path': None, 'name': 'Doom Productions', 'origin_country': ''}, {'id': 19923, 'logo_path': None, 'name': 'Distant Planet Productions', 'origin_country': ''}, {'id': 424, 'logo_path': None, 'name': 'Babelsberg Film', 'origin_country': 'DE'}]",105,1.0,0.0,0.0,10.0,141.0,10.0,10765.0,35.0,6.1,7.465,57264.0,13.0,13.0,5.911,7.3,26.0,2.0,24.0,178.0,0.0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
34,9947,Elektra,2005-01-13,12804793.0,en,43000000,['US'],"[{'id': 508, 'logo_path': '/7cxRWzi4LsVm4Utfpr1hfARNurT.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/wRn5HnYMGeJHmItRypgOZOC6gwY.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 19552, 'logo_path': None, 'name': 'Horseshoe Bay Productions', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]",97,1.0,0.0,0.0,20.0,151.0,10.0,12523.0,3.0,6.188,6.9,60707.0,8.5,30.0,6.0,8.0,30.0,5.0,27.0,200.0,0.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,9621,Elizabethtown,2005-10-14,10618711.0,en,57000000,['US'],"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 44, 'logo_path': '/6Hs6K20Hz1W9W1Tiam5QN2Kpx8V.png', 'name': 'Cruise/Wagner Productions', 'origin_country': 'US'}, {'id': 485, 'logo_path': '/tVOP0mIeoYLua4Rw66OYNzitrrI.png', 'name': 'Vinyl Films', 'origin_country': 'US'}, {'id': 20157, 'logo_path': None, 'name': 'KMP Film Invest', 'origin_country': 'DE'}]",123,1.0,0.0,0.0,69.0,311.0,10.0,11649.0,19.0,6.8,7.51,11649.0,19.0,19.0,6.8,7.51,23.0,1.0,28.0,132.0,0.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36,13020,Enron: The Smartest Guys in the Room,2005-04-22,76639.0,en,0,['US'],"[{'id': 846, 'logo_path': '/1ITLcfP6CoW7fPhJUfWsJhFwbOU.png', 'name': '2929 Productions', 'origin_country': 'US'}, {'id': 3097, 'logo_path': '/gwRH6QNHz9xGO6a2vgRU61SzPs8.png', 'name': 'HDNet Films', 'origin_country': 'US'}, {'id': 2740, 'logo_path': '/gSiDWkmEOyOn9MsaCgnjd8Mohmx.png', 'name': 'Jigsaw Productions', 'origin_country': 'US'}]",110,1.0,0.0,0.0,59.5,119.0,10.0,71797.0,27.0,0.0,7.3,71797.0,27.0,27.0,0.0,7.3,3.0,2.0,0.0,6.0,0.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,340,Everything Is Illuminated,2005-09-05,66806.0,en,7000000,['US'],"[{'id': 11345, 'logo_path': '/xhnnHfsqEimD4r0QeUz3GSvcv73.png', 'name': 'Stillking Films', 'origin_country': 'CZ'}, {'id': 11509, 'logo_path': '/k0jYhHnt0DultQDNH2wH1XHt9PO.png', 'name': 'Warner Independent Pictures', 'origin_country': 'US'}, {'id': 54285, 'logo_path': None, 'name': 'Telegraph Films', 'origin_country': ''}, {'id': 188, 'logo_path': '/40E8iNvy6brH6t4BbmQL211jIpl.png', 'name': 'Big Beach', 'origin_country': 'US'}]",106,1.0,0.0,0.0,28.0,72.0,8.9,23626.0,1.0,6.8,6.8,4853.0,1.0,1.0,6.8,6.8,9.0,2.0,1.0,25.0,0.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,9738,Fantastic Four,2005-06-29,56061504.0,en,100000000,['US'],"[{'id': 26149, 'logo_path': None, 'name': 'Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG', 'origin_country': ''}, {'id': 436, 'logo_path': '/A7WCkG3F0NFvjGCwUnclpGdIu9E.png', 'name': '1492 Pictures', 'origin_country': 'US'}, {'id': 19551, 'logo_path': '/2WpWp9b108hizjHKdA107hFmvQ5.png', 'name': 'Marvel Enterprises', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 10881, 'logo_path': None, 'name': 'Bernd Eichinger Productions', 'origin_country': 'DE'}, {'id': 47, 'logo_path': '/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png', 'name': 'Constantin Film', 'origin_country': 'DE'}]",106,1.0,0.0,0.0,9.0,64.0,10.0,20400.0,6.0,2.15,6.383,18866.0,14.0,102.0,5.8,8.442,36.0,4.0,28.0,329.0,0.0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
