,id,release,release_date,opening_revenue,percent_of_total_revenue,opening_theaters,genre_ids,original_language,popularity,vote_average,vote_count,budget,genres,imdb_id,origin_country,production_companies,production_countries,revenue,runtime,belongs_to_collection.id,belongs_to_collection.name,position_in_series,previous_film_release,previous_film_rating,cast_xp_median,cast_xp_sum,cast_rating_max,director,director_xp,director_rating_median,director_rating_max,writer,writer_xp_median,writer_xp_sum,writer_rating_median,writer_rating_max,production_room,writers_room,sound_room,crew,based_on_novel
160,9885,Wolf Creek,2005-09-16,"$2,805,754",17.30%,"1,749","[27, 53]",en,31.686,6.2,1143,1000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt0416315,"['AU', 'US']","[{'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}, {'id': 1380, 'logo_path': '/y4JH9ncZJAFJGYWK84k1dmXnsw0.png', 'name': 'Australian Film Finance Corporation', 'origin_country': 'AU'}, {'id': 2806, 'logo_path': '/vxOhCbpsRBh10m6LZ3HyImTYpPY.png', 'name': 'South Australian Film Corporation', 'origin_country': 'AU'}, {'id': 6016, 'logo_path': None, 'name': '403 Productions', 'origin_country': ''}, {'id': 6017, 'logo_path': None, 'name': 'True Crime Channel', 'origin_country': ''}, {'id': 7337, 'logo_path': None, 'name': 'Mushroom Pictures', 'origin_country': 'AU'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",30894796,104,268098.0,Wolf Creek Collection,1.0,0.0,0.0,8.0,44.0,8.0,59998.0,3.0,0.0,0.0,1185064.0,4.5,9.0,5.0,6.3,5.0,2.0,10.0,36.0,0.0
161,11679,xXx: State of the Union,2005-04-27,"$12,712,272",47.30%,"3,480","[28, 12, 80, 9648, 53]",en,31.869,5.041,1823,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0329774,['US'],"[{'id': 497, 'logo_path': '/wmxHM7w6JxbPwaopC6Sl4QSG2uH.png', 'name': 'Revolution Studios', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",71410636,101,52785.0,xXx Collection,2.0,992.0,5.9,37.0,257.0,10.0,7256.0,13.0,6.338,7.4,53345.0,7.0,7.0,5.1,6.126,31.0,2.0,25.0,263.0,0.0
162,13499,"Yours, Mine & Ours",2005-11-23,"$17,461,108",32.70%,"3,206","[35, 10751, 10749]",en,16.218,6.2,812,45000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",tt0443295,['US'],"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 2348, 'logo_path': '/oydqrfwRAm6qqdYbxuMmmPsVi87.png', 'name': 'Nickelodeon Movies', 'origin_country': 'US'}, {'id': 3929, 'logo_path': None, 'name': 'Robert Simonds Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",72028752,90,,,1.0,0.0,0.0,5.0,90.0,7.4,1215.0,24.0,5.9094999999999995,7.466,86315.0,1.0,2.0,5.638,5.638,2.0,2.0,1.0,16.0,0.0
163,6795,Zathura: A Space Adventure,2005-11-06,"$13,427,872",45.90%,"3,223","[878, 12, 10751]",en,23.648,6.425,3256,65000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",tt0406375,['US'],"[{'id': 2550, 'logo_path': None, 'name': 'Teitler Film', 'origin_country': 'US'}, {'id': 11370, 'logo_path': None, 'name': 'Michael De Luca Productions', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 350, 'logo_path': '/jrlmyFt4rzIfcFQx0PN2ydrErwI.png', 'name': 'Radar Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",65079104,101,,,1.0,0.0,0.0,8.0,79.0,10.0,15277.0,8.0,6.3255,7.267,42356.0,4.0,34.0,6.6,7.952,29.0,3.0,21.0,182.0,0.0
164,2207,16 Blocks,2006-03-01,"$11,855,260",32.10%,"2,706","[28, 12, 80, 53]",en,30.279,6.4,1918,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0450232,['US'],"[{'id': 1088, 'logo_path': '/9WOE5AQUXbOtLU6GTwfjS8OMF0v.png', 'name': 'Alcon Entertainment', 'origin_country': 'US'}, {'id': 890, 'logo_path': None, 'name': 'Cheyenne Enterprises', 'origin_country': 'US'}, {'id': 10885, 'logo_path': None, 'name': 'Equity Pictures Medienfonds GmbH & Co. KG III', 'origin_country': ''}, {'id': 10886, 'logo_path': None, 'name': '16 Block Productions', 'origin_country': ''}, {'id': 431, 'logo_path': '/6dcR1MbRqYgt3jUVYxkHe68GFnZ.png', 'name': ""The Donners' Company"", 'origin_country': 'US'}, {'id': 1020, 'logo_path': '/kuUIHNwMec4dwOLghDhhZJzHZTd.png', 'name': 'Millennium Media', 'origin_country': 'US'}, {'id': 925, 'logo_path': '/dIb9hjXNOkgxu4kBWdIdK8nM4w.png', 'name': 'Nu Image', 'origin_country': 'US'}, {'id': 1420, 'logo_path': None, 'name': 'ContentFilm', 'origin_country': 'GB'}, {'id': 10405, 'logo_path': None, 'name': 'EFO Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",65664721,105,,,1.0,0.0,0.0,24.0,161.0,10.0,7187.0,57.0,6.4,8.7,22814.0,18.0,18.0,5.9,10.0,47.0,2.0,22.0,179.0,0.0
165,9726,A Good Year,2006-09-09,"$3,721,526",49.90%,"2,066","[35, 18, 10749]",en,18.395,6.667,1478,35000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0401445,"['US', 'GB']","[{'id': 711, 'logo_path': '/tEiIH5QesdheJmDAqQwvtN60727.png', 'name': 'Fox 2000 Pictures', 'origin_country': 'US'}, {'id': 1645, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'GB'}, {'id': 133789, 'logo_path': None, 'name': 'Ingenious Film Partners', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",42064105,117,,,1.0,0.0,0.0,32.0,162.0,8.7,578.0,51.0,6.463,8.217,58790.0,3.5,7.0,4.7,7.0,10.0,2.0,24.0,65.0,1.0
166,9526,A Prairie Home Companion,2006-06-01,"$4,566,293",22.40%,760,"[18, 35, 10402]",en,10.129,6.3,292,10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",tt0420087,['US'],"[{'id': 11487, 'logo_path': None, 'name': 'Sandcastle 5', 'origin_country': 'US'}, {'id': 11488, 'logo_path': None, 'name': 'Prairie Home Productions', 'origin_country': 'US'}, {'id': 2150, 'logo_path': None, 'name': 'GreeneStreet Films', 'origin_country': 'US'}, {'id': 37163, 'logo_path': None, 'name': 'Sandcastle 5 Productions', 'origin_country': ''}, {'id': 1246, 'logo_path': '/s0doRYEVWp3a4Y4Cg7R4fE9cwov.png', 'name': 'River Road Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",25978375,105,,,1.0,0.0,0.0,49.0,186.0,10.0,9789.0,112.0,5.9,9.0,57824.0,2.0,2.0,6.0,6.0,14.0,3.0,6.0,42.0,0.0
167,3509,A Scanner Darkly,2006-07-07,"$391,672",7.10%,17,"[16, 878, 53]",en,11.631,6.802,1726,8700000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0405296,['US'],"[{'id': 11509, 'logo_path': '/k0jYhHnt0DultQDNH2wH1XHt9PO.png', 'name': 'Warner Independent Pictures', 'origin_country': 'US'}, {'id': 380, 'logo_path': None, 'name': 'Thousand Words', 'origin_country': 'US'}, {'id': 11510, 'logo_path': '/gg3gP2wHNNfOfLKdXGjYC9qJ9ok.png', 'name': 'Detour Filmproduction', 'origin_country': 'US'}, {'id': 129, 'logo_path': '/nmnWiA0Xf0uve4Hw3HKWdVE5tH1.png', 'name': 'Section Eight', 'origin_country': 'US'}, {'id': 787, 'logo_path': '/cCefBs1t7jxtiz3eCxBp9yxrxGx.png', 'name': '3 Arts Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7659918,100,,,1.0,0.0,0.0,50.0,236.0,10.0,564.0,35.0,6.9,8.2,584.0,23.0,46.0,6.7,8.2,21.0,2.0,17.0,84.0,1.0
168,9788,Accepted,2006-08-18,"$10,023,835",27.60%,"2,914",[35],en,17.629,6.4,1555,23000000,"[{'id': 35, 'name': 'Comedy'}]",tt0384793,['US'],"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 159, 'logo_path': '/rYsaKUrfDoOa2UG846axs4r81Dx.png', 'name': 'Shady Acres Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'AU', 'name': 'Australia'}]",38505009,93,,,1.0,0.0,0.0,3.0,22.0,7.063,3227.0,6.0,7.0295000000000005,7.123,59266.0,1.0,8.0,5.2875,6.186,6.0,4.0,10.0,50.0,0.0
169,13751,Akeelah and the Bee,2006-04-28,"$6,011,585",31.90%,"2,195",[18],en,18.159,7.1,320,8000000,"[{'id': 18, 'name': 'Drama'}]",tt0437800,['US'],"[{'id': 35, 'logo_path': '/wxrHa3nZ1K4zo65p56991INkGo6.png', 'name': 'Lions Gate Films', 'origin_country': 'US'}, {'id': 846, 'logo_path': '/1ITLcfP6CoW7fPhJUfWsJhFwbOU.png', 'name': '2929 Productions', 'origin_country': 'US'}, {'id': 879, 'logo_path': None, 'name': 'Out of the Blue... Entertainment', 'origin_country': ''}, {'id': 1708, 'logo_path': None, 'name': 'Starbucks Entertainment', 'origin_country': ''}, {'id': 5227, 'logo_path': '/oBThFkvaCDyBG8zXDm11vaOQ7HM.png', 'name': 'Cinema Gypsy Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",18948425,112,,,1.0,0.0,0.0,35.0,143.0,8.277,109640.0,4.0,5.3,5.3,109640.0,4.0,4.0,5.3,5.3,11.0,1.0,19.0,70.0,0.0
