id,opening_revenue,budget,runtime,position_in_series,previous_film_release,previous_film_rating,cast_xp_median,cast_rating_max,writer_xp_median,writer_xp_sum,writer_rating_median,writer_rating_max,production_room,writers_room,sound_room,crew,based_on_novel,is_adventure,is_fantasy,is_animation,is_drama,is_horror,is_action,is_comedy,is_history,is_thriller,is_crime,is_documentary,is_sci_fi,is_mystery,is_music,is_romance,is_family,total_genres,CA,US,is_series,num_production_companies,num_indie,is_indie,pct_indie,filmed_in_central_america,filmed_in_oceania,filmed_in_europe,filmed_in_asia,filmed_in_mena,is_spring,is_summer,is_fall,is_holiday,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,first_time_writers,first_time_directors
10759,5554594.0,15000000.0,107.0,1,0.0,0.0,32.0,9.1,1.0,2.0,5.782,5.782,12.0,6.0,1.0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14636,3807595.0,20000000.0,113.0,1,0.0,0.0,26.0,10.0,11.0,22.0,5.0275,6.2,32.0,2.0,30.0,203.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4538,134938.0,16000000.0,92.0,1,0.0,0.0,25.5,8.5,21.0,42.0,7.0105,9.0,37.0,3.0,18.0,130.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13680,22950971.0,22000000.0,110.0,1,0.0,0.0,29.5,10.0,14.0,14.0,6.2315,6.9,2.0,5.0,16.0,43.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2268,26125000.0,180000000.0,113.0,1,0.0,0.0,24.0,10.0,7.5,15.0,6.162,6.674,19.0,2.0,19.0,169.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14047,6005180.0,15000000.0,126.0,1,0.0,0.0,8.0,8.5,10.0,10.0,5.9,7.5,30.0,2.0,31.0,158.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9038,14022105.0,60000000.0,116.0,1,0.0,0.0,11.0,10.0,25.0,143.0,6.2,9.0,13.0,6.0,2.0,54.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9793,9686362.0,15000000.0,90.0,2,377.0,6.4,17.0,8.0,90.5,181.0,5.7,8.5,5.0,3.0,2.0,16.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8398,8234000.0,10000000.0,84.0,1,0.0,0.0,6.0,10.0,7.0,28.0,5.75,6.948,10.0,3.0,9.0,63.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4858,5951409.0,80000000.0,99.0,1,0.0,0.0,36.0,10.0,10.0,10.0,6.15,7.5,12.0,2.0,34.0,162.0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1,0,2,0,0,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9785,7717309.0,30000000.0,102.0,1,0.0,0.0,6.0,8.5,8.0,16.0,5.55,7.045,8.0,3.0,12.0,63.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,0,2,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5951,148549.0,26000000.0,106.0,1,0.0,0.0,19.0,10.0,11.0,11.0,6.8,7.667,8.0,1.0,1.0,17.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4349,17135055.0,70000000.0,110.0,1,0.0,0.0,25.0,8.016,0.0,0.0,0.0,0.0,15.0,1.0,4.0,112.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7979,471713.0,20000000.0,128.0,1,0.0,0.0,3.0,8.0,4.0,4.0,7.230499999999999,7.3,7.0,2.0,2.0,19.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9703,2746312.0,67000000.0,102.0,1,0.0,0.0,34.0,10.0,6.0,28.0,5.4,7.125,14.0,6.0,4.0,42.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,7,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2267,10200000.0,26000000.0,94.0,1,0.0,0.0,10.5,10.0,17.0,87.0,6.308,9.0,6.0,6.0,1.0,25.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8270,2007000.0,16000000.0,99.0,1,0.0,0.0,26.0,10.0,12.0,12.0,6.35,7.35,10.0,1.0,1.0,28.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9966,14713321.0,16000000.0,90.0,1,0.0,0.0,26.0,7.838,1.0,2.0,6.1,7.4,15.0,2.0,1.0,42.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5876,8931973.0,18000000.0,126.0,1,0.0,0.0,26.0,8.5,65.0,130.0,5.9,10.0,16.0,2.0,14.0,74.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12435,7480927.0,20000000.0,106.0,1,0.0,0.0,13.0,10.0,6.5,13.0,7.175,7.3,24.0,4.0,37.0,145.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3594,15107000.0,30000000.0,98.0,1,0.0,0.0,24.0,8.6,0.0,0.0,0.0,0.0,12.0,1.0,1.0,26.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,1,0,2,0,0,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26990,2283360.0,26000000.0,96.0,1,0.0,0.0,22.0,10.0,1.0,1.0,4.7,4.7,13.0,1.0,11.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1683,10025203.0,40000000.0,99.0,1,0.0,0.0,27.0,8.1,13.0,26.0,4.6,7.0,37.0,3.0,47.0,298.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8272,151859.0,26000000.0,114.0,1,0.0,0.0,39.0,10.0,4.0,4.0,6.0,6.3,11.0,1.0,2.0,19.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2274,3745315.0,45000000.0,94.0,1,0.0,0.0,35.0,10.0,5.5,11.0,7.0,7.967,7.0,2.0,1.0,38.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,1,0,1,0,0,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,74036787.0,75000000.0,87.0,1,0.0,0.0,38.0,10.0,2.5,59.0,6.7,10.0,13.0,12.0,7.0,70.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14624,1200000.0,26000000.0,114.0,1,0.0,0.0,11.0,10.0,1.0,1.0,0.0,0.0,4.0,2.0,7.0,35.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54318,9186054.0,40000000.0,112.0,1,0.0,0.0,21.5,8.1,3.5,7.0,6.366,7.0,44.0,2.0,25.0,255.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7345,190739.0,25000000.0,158.0,1,0.0,0.0,28.0,8.0,18.0,36.0,6.0,7.725,7.0,2.0,24.0,94.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3877,1561949.0,16000000.0,113.0,1,0.0,0.0,36.0,10.0,0.0,0.0,0.0,0.0,11.0,1.0,17.0,51.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15250,17958183.0,13000000.0,117.0,1,0.0,0.0,26.0,10.0,11.0,11.0,5.8,6.9,13.0,1.0,11.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1273,24255205.0,34000000.0,86.0,1,0.0,0.0,11.0,9.8,11.0,25.0,5.4,7.3,19.0,3.0,1.0,30.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1858,70502384.0,150000000.0,144.0,1,0.0,0.0,17.0,10.0,8.0,22.0,6.123,7.812,16.0,5.0,10.0,112.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6589,11585121.0,25000000.0,82.0,1,0.0,0.0,37.0,9.0,123.0,123.0,4.3,6.7,13.0,7.0,5.0,57.0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,6,0,1,0,1,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10294,7603376.0,19000000.0,85.0,1,0.0,0.0,32.0,10.0,2.0,2.0,5.2,5.2,7.0,1.0,11.0,71.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10758,92034.0,1500000.0,105.0,1,0.0,0.0,12.0,10.0,11.0,11.0,0.0,6.0,8.0,1.0,5.0,24.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6575,4174383.0,35000000.0,96.0,1,0.0,0.0,20.0,8.0,17.5,35.0,6.017,7.5,12.0,2.0,22.0,85.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10431,9820089.0,25000000.0,103.0,1,0.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,73.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2001,10826287.0,21000000.0,118.0,1,0.0,0.0,25.0,10.0,5.0,5.0,6.191,6.5,18.0,1.0,17.0,102.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15581,2756661.0,7000000.0,93.0,1,0.0,0.0,4.0,10.0,5.5,11.0,5.1,6.3,20.0,3.0,1.0,28.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17202,21353789.0,15000000.0,113.0,1,0.0,0.0,11.0,10.0,29.0,29.0,6.87,8.0,2.0,1.0,1.0,9.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11199,39699023.0,26000000.0,100.0,1,0.0,0.0,39.0,10.0,0.0,0.0,0.0,0.0,20.0,1.0,21.0,116.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1949,13395610.0,65000000.0,157.0,1,0.0,0.0,33.0,10.0,2.5,5.0,6.452,6.5,8.0,2.0,16.0,45.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,4,0,1,0,1,0,0,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
